n	lat	long	dlat	dlong	dh
1	42.13561944	-7.298940278	-0.1304	0.1005	-1.11
2	42.13470917	-7.586999167	-0.1174	0.1062	-0.59
3	41.92156806	-7.285272222	-0.1246	0.0832	0.2
4	41.88802361	-7.128583056	-0.1305	0.0788	0.15
5	41.9690775	-7.692379722	-0.1161	0.0989	0.36
6	41.88037944	-6.279684444	-0.0963	0.1236	0.03
7	41.91482528	-6.996396111	-0.064	0.1404	-0.22
8	41.84859778	-6.666781111	-0.0771	0.1351	-0.37
9	41.84943528	-5.408905556	-0.0519	0.149	-0.24
10	41.76295389	-7.1922025	-0.1308	0.0721	0.08
11	41.72870667	-7.540626389	-0.1118	0.0855	-0.27
12	41.63896694	-7.956713889	-0.0938	0.0939	-0.02
13	41.56221361	-6.482906111	-0.0751	0.1099	-0.02
14	41.71728222	-5.144494167	-0.0543	0.1336	-0.3
15	41.66298333	-5.6929825	-0.0421	0.1457	-0.3
16	41.53115528	-5.436600833	-0.0398	0.1345	-0.43
17	41.43496528	-7.284705	-0.1048	0.0592	0.03
18	41.32386278	-7.614003333	-0.0904	0.0704	-0.57
19	41.16749667	-7.736595278	-0.0831	0.0665	-0.67
20	41.24847	-6.113085833	-0.0755	0.0771	-0.34
21	41.43405333	-6.9930225	-0.0531	0.1162	-0.34
22	41.23481667	-6.740167222	-0.0605	0.1037	-0.19
23	41.21068083	-5.241464722	-0.0392	0.12	-0.47
24	41.3577225	-5.678496944	-0.0308	0.13	-1.7
25	41.10791806	-7.412788611	-0.0879	0.0516	-0.4
26	40.87516528	-7.719253889	-0.0716	0.0558	-0.16
27	40.97404778	-6.0121775	-0.0675	0.0629	0.14
28	40.95563722	-6.3438325	-0.0585	0.0717	0.09
29	40.77023667	-6.575859167	-0.0493	0.0694	0.16
30	40.86412167	-5.008271111	-0.0382	0.0929	-0.19
31	40.6428275	-7.252156944	-0.076	0.0311	-0.46
32	40.45968833	-7.198127778	-0.0649	0.0208	-0.27
33	40.54727167	-7.797954444	-0.0614	0.0417	-0.06
34	40.61242889	-6.256429167	-0.0436	0.0422	-0.43
35	40.53377583	-6.574783611	-0.0374	0.0644	0.17
36	40.59123	-6.867212778	-0.0329	0.0753	0.02
37	40.604435	-5.144124167	-0.0252	0.0806	-0.2
38	40.45484139	-5.121740833	-0.0229	0.0735	-0.17
39	40.36185667	-7.645316389	-0.0561	0.029	0.11
40	40.19557361	-7.145995278	-0.0596	0.0093	-0.44
41	40.08964389	-7.820866667	-0.0429	0.0313	0.02
42	40.38584	-6.060920278	-0.0483	0.0415	-0.22
43	40.21557972	-6.181973889	-0.0356	0.0418	0.31
44	40.32189639	-6.387079444	-0.0362	0.0503	0.85
45	40.08057333	-6.474997778	-0.032	0.0432	0.22
46	40.35139778	-6.819176111	-0.0313	0.0605	-0.02
47	40.27219056	-5.139770278	-0.021	0.0628	-0.33
48	40.03576889	-6.885595	-0.0171	0.0498	-0.29
49	39.68716778	-8.997456944	-0.0326	-0.0058	-0.22
50	39.89207361	-7.1570825	-0.045	0.0085	-0.28
51	39.92038722	-7.460065	-0.0398	0.0234	-0.47
52	39.84858667	-6.074388889	-0.0291	0.03	0.13
53	39.69414	-7.869853611	-0.0265	0.0147	-0.07
54	39.80296556	-6.536378889	-0.0241	0.035	-0.08
55	39.73448722	-6.9600225	-0.0094	0.0385	-0.34
56	39.36060028	-8.592209722	-0.0282	-0.0297	-0.13
57	39.45385944	-8.798851667	-0.0313	-0.027	-0.36
58	39.43741667	-7.0814125	-0.0305	-0.0104	-0.09
59	39.53579667	-7.363401389	-0.029	0.0069	0.14
60	39.52092778	-7.707015833	-0.0258	0.0122	-0.13
61	39.33470917	-7.249566944	-0.0252	-0.0015	-0.26
62	39.33616389	-7.582673333	-0.0218	0.005	-0.24
63	39.57530611	-6.369946667	-0.0152	0.0217	0.04
64	39.36705389	-7.988595	-0.0191	0.0123	-0.14
65	39.60400667	-6.783687778	-0.0155	0.0235	1.24
66	39.31350361	-6.639433611	-0.0088	0.0177	0.34
67	39.17337639	-8.951456389	-0.0225	-0.0197	0
68	39.01233722	-8.683418889	-0.0184	-0.0222	-0.09
