n         lat       long      dlat      dlong     dh
         1   42.1356   -7.2989   -0.1304    0.1005     -1.11
         2   42.1347   -7.5870   -0.1174    0.1062     -0.59
         3   41.9216   -7.2853   -0.1246    0.0832      0.20
         4   41.8880   -7.1286   -0.1305    0.0788      0.15
         5   41.9691   -7.6924   -0.1161    0.0989      0.36
         6   41.8804   -6.2797   -0.0963    0.1236      0.03
         7   41.9148   -6.9964    -0.064    0.1404     -0.22
         8   41.8486   -6.6668   -0.0771    0.1351     -0.37
         9   41.8494   -5.4089   -0.0519     0.149     -0.24
        10   41.7630   -7.1922   -0.1308    0.0721      0.08
        11   41.7287   -7.5406   -0.1118    0.0855     -0.27
        12   41.6390   -7.9567   -0.0938    0.0939     -0.02
        13   41.5622   -6.4829   -0.0751    0.1099     -0.02
        14   41.7173   -5.1445   -0.0543    0.1336      -0.3
        15   41.6630   -5.6930   -0.0421    0.1457      -0.3
        16   41.5312   -5.4366   -0.0398    0.1345     -0.43
        17   41.4350   -7.2847   -0.1048    0.0592      0.03
        18   41.3239   -7.6140   -0.0904    0.0704     -0.57
        19   41.1675   -7.7366   -0.0831    0.0665     -0.67
        20   41.2485   -6.1131   -0.0755    0.0771     -0.34
        21   41.4341   -6.9930   -0.0531    0.1162     -0.34
        22   41.2348   -6.7402   -0.0605    0.1037     -0.19
        23   41.2107   -5.2415   -0.0392      0.12     -0.47
        24   41.3577   -5.6785   -0.0308      0.13      -1.7
        25   41.1079   -7.4128   -0.0879    0.0516      -0.4
        26   40.8752   -7.7193   -0.0716    0.0558     -0.16
        27   40.9740   -6.0122   -0.0675    0.0629      0.14
        28   40.9556   -6.3438   -0.0585    0.0717      0.09
        29   40.7702   -6.5759   -0.0493    0.0694      0.16
        30   40.8641   -5.0083   -0.0382    0.0929     -0.19
        31   40.6428   -7.2522    -0.076    0.0311     -0.46
        32   40.4597   -7.1981   -0.0649    0.0208     -0.27
        33   40.5473   -7.7980   -0.0614    0.0417     -0.06
        34   40.6124   -6.2564   -0.0436    0.0422     -0.43
        35   40.5338   -6.5748   -0.0374    0.0644      0.17
        36   40.5912   -6.8672   -0.0329    0.0753      0.02
        37   40.6044   -5.1441   -0.0252    0.0806      -0.2
        38   40.4548   -5.1217   -0.0229    0.0735     -0.17
        39   40.3619   -7.6453   -0.0561     0.029      0.11
        40   40.1956   -7.1460   -0.0596    0.0093     -0.44
        41   40.0896   -7.8209   -0.0429    0.0313      0.02
        42   40.3858   -6.0609   -0.0483    0.0415     -0.22
        43   40.2156   -6.1820   -0.0356    0.0418      0.31
        44   40.3219   -6.3871   -0.0362    0.0503      0.85
        45   40.0806   -6.4750    -0.032    0.0432      0.22
        46   40.3514   -6.8192   -0.0313    0.0605     -0.02
        47   40.2722   -5.1398    -0.021    0.0628     -0.33
        48   40.0358   -6.8856   -0.0171    0.0498     -0.29
        49   39.6872   -8.9975   -0.0326   -0.0058     -0.22
        50   39.8921   -7.1571    -0.045    0.0085     -0.28
        51   39.9204   -7.4601   -0.0398    0.0234     -0.47
        52   39.8486   -6.0744   -0.0291      0.03      0.13
        53   39.6941   -7.8699   -0.0265    0.0147     -0.07
        54   39.8030   -6.5364   -0.0241     0.035     -0.08
        55   39.7345   -6.9600   -0.0094    0.0385     -0.34
        56   39.3606   -8.5922   -0.0282   -0.0297     -0.13
        57   39.4539   -8.7989   -0.0313    -0.027     -0.36
        58   39.4374   -7.0814   -0.0305   -0.0104     -0.09
        59   39.5358   -7.3634    -0.029    0.0069      0.14
        60   39.5209   -7.7070   -0.0258    0.0122     -0.13
        61   39.3347   -7.2496   -0.0252   -0.0015     -0.26
        62   39.3362   -7.5827   -0.0218     0.005     -0.24
        63   39.5753   -6.3699   -0.0152    0.0217      0.04
        64   39.3671   -7.9886   -0.0191    0.0123     -0.14
        65   39.6040   -6.7837   -0.0155    0.0235      1.24
        66   39.3135   -6.6394   -0.0088    0.0177      0.34
        67   39.1734   -8.9515   -0.0225   -0.0197      0.01   
        68   39.0123   -8.6834   -0.0184   -0.0222     -0.09
        69   39.1422   -7.4134   -0.0191   -0.0035     -0.19
        70   39.0773   -7.8127   -0.0153    0.0032     -0.01
        71   39.1891   -6.3773   -0.0131    0.0126     -0.11
        72   39.0311   -6.8928   -0.0064    0.0139     -0.66
        73   38.7743   -8.5585   -0.0149   -0.0239      0.10
        74   38.8942   -8.9090   -0.0142   -0.0175     -0.05
        75   38.7137   -8.8668   -0.0127   -0.0171     -0.29
        76   38.8406   -7.4810   -0.0117   -0.0075     -0.27
        77   38.6887   -7.4599   -0.0064    -0.005     -0.18
        78   38.9163   -6.3459   -0.0073    0.0081     -0.46
        79   38.7257   -6.0119   -0.0056     0.002      0.03
        80   38.7395   -6.4160   -0.0061    0.0062     -0.04
        81   38.8399   -6.7413    -0.004    0.0128     -0.24
        82   38.5662   -7.0997   -0.0054   -0.0143     -0.17
        83   38.4528   -8.8932   -0.0045   -0.0161      0.20
        84   38.4919   -7.4769   -0.0068   -0.0037     -0.15
        85   38.5691   -7.8101   -0.0067     0.001      0.22
        86   38.2458   -7.7652   -0.0007   -0.0013      0.02
        87   38.4483   -6.1991   -0.0038    0.0035     -0.29
        88   38.2462   -6.2161   -0.0008    0.0032     -0.03
